Symbol,Close,Trend,Structure,Category
DRREDDY,1265.4,-1,-2,DOWNTREND
BAJFINANCE,966.75,-1,-4,DOWNTREND
JIOFIN,245.5,-1,-5,DOWNTREND
TCS,2081.4,-1,-5,DOWNTREND
AMBUJACEM,425.55,-1,-7,DOWNTREND
SHREECEM,25220.0,-1,-10,DOWNTREND
ADANIGREEN,1516.2,-1,-13,DOWNTREND
DABUR,425.35,-1,-13,DOWNTREND
HDFCLIFE,586.4,-1,-13,DOWNTREND
SBICARD,615.6,-1,-13,DOWNTREND
