Symbol,Close,Trend,Structure,Category
ADANIENT,3029.2,0,1,NEUTRAL
ADANIPOWER,231.62,0,1,NEUTRAL
HAVELLS,1187.9,0,1,NEUTRAL
IRCTC,520.75,0,1,NEUTRAL
PAYTM,1093.8,0,1,NEUTRAL
HEROMOTOCO,4947.0,0,0,NEUTRAL
RELIANCE,1326.1,0,0,NEUTRAL
