Symbol,Category,Score,Close,EMA50,RSI,Trend,Structure
BERGEPAINT,MID_TERM_OPPORTUNITY,95,542.05,496.19,63.12,1,16
GAIL,MID_TERM_OPPORTUNITY,95,173.73,164.96,69.49,1,19
DLF,MID_TERM_OPPORTUNITY,95,628.75,591.95,64.37,1,10
ABB,MID_TERM_OPPORTUNITY,90,7249.5,6828.0,59.26,1,17
BANKBARODA,MID_TERM_OPPORTUNITY,90,280.0,266.75,72.78,1,19
CANBK,MID_TERM_OPPORTUNITY,90,133.83,130.87,65.59,1,18
BAJAJFINSV,MID_TERM_OPPORTUNITY,85,1767.2,1766.22,51.27,1,15
BPCL,MID_TERM_OPPORTUNITY,85,307.9,303.85,58.35,1,10
LODHA,MID_TERM_OPPORTUNITY,85,912.85,896.17,54.2,1,15
