Symbol,Category,Score,Close,EMA50,RSI,Trend,Structure
CGPOWER,ELITE_LEADER,100,961.0,861.61,68.93,1,45
POLYCAB,ELITE_LEADER,100,9967.5,8996.01,68.22,1,47
TRENT,ELITE_LEADER,100,3157.3,2808.29,74.67,1,40
LT,ELITE_LEADER,95,4208.3,3979.76,66.01,1,54
APOLLOHOSP,ELITE_LEADER,90,8443.5,8097.45,71.64,1,51
BEL,ELITE_LEADER,90,428.4,421.65,70.08,1,40
SBIN,ELITE_LEADER,90,1032.4,1008.31,83.12,1,40
SIEMENS,ELITE_LEADER,85,3761.6,3618.45,55.1,1,42
