Symbol,Category,Score,Close,EMA50,RSI,Trend,Structure
BAJFINANCE,AVOID,35,966.75,919.41,71.73,-1,-4
JIOFIN,AVOID,30,245.5,240.54,61.93,-1,-5
ADANIGREEN,AVOID,20,1516.2,1345.66,58.85,-1,-13
SHREECEM,AVOID,10,25220.0,24763.98,51.94,-1,-10
AMBUJACEM,AVOID,0,425.55,436.68,45.19,-1,-7
DABUR,AVOID,0,425.35,442.68,50.64,-1,-13
HDFCLIFE,AVOID,0,586.4,596.77,50.91,-1,-13
DRREDDY,AVOID,0,1265.4,1283.26,33.97,-1,-2
SBICARD,AVOID,0,615.6,633.72,49.87,-1,-13
TCS,AVOID,0,2081.4,2311.42,34.24,-1,-5
