Symbol,Date,Pattern,Confidence,RSI,Volume Ratio,EMA50,EMA200,Trend Strength %,Entry,Stop,Target,Risk %,Reward %,Risk:Reward,Exit,Return %,Holding Days,Outcome
ADANIENT,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,1642.6829833984375,1329.7813873495509,1937.7245305265603,19.048203409372714,17.96095473745829,0.9429211958446727,1839.7930908203125,11.999278583508975,60.0,TIME_EXIT
SBIN,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,448.7749938964844,366.35626478802953,527.1230653396332,18.365267724223013,17.458207901222938,0.950610040832473,462.8163757324219,3.128824472598917,60.0,TIME_EXIT
CANBK,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,32.76288604736328,24.05376231679131,40.81184180940727,26.5822849610432,24.567297735639375,0.924198118094181,40.81184180940727,24.567297735639375,15.0,WIN
VEDL,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,169.1611785888672,117.03355221236313,216.7526863942462,30.815360126566695,28.133823730943853,0.9129805270939857,175.3495330810547,3.658259267173708,60.0,TIME_EXIT
ITC,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,202.00494384765625,158.18668136912962,241.37445513068403,21.691678254950308,19.489380078102755,0.8984726699814035,174.76126098632812,-13.4866416348078,60.0,TIME_EXIT
INDUSINDBK,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,1174.2637939453125,930.0213181819523,1404.919796909286,20.7996258611321,19.642605362889665,0.9443730139201908,930.0213181819523,-20.7996258611321,27.0,LOSS
POWERGRID,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,120.72875213623047,96.89651837809451,144.47249370111678,19.74031317017477,19.667014811926357,0.9962868695336021,124.4742202758789,3.1023828817695778,60.0,TIME_EXIT
NTPC,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,128.0015869140625,93.30753682072826,162.65280843429457,27.104390601522056,27.0709311936079,0.9987655355028614,113.3508071899414,-11.445779757369188,60.0,TIME_EXIT
IRCTC,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,1045.264892578125,378.51479528952467,1616.4815680119912,63.78766779816688,54.64803032128742,0.8567177984026857,824.9549560546875,-21.076947871084375,60.0,TIME_EXIT
HINDALCO,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,501.5177307128906,347.8108005034685,651.240526456658,30.64835414511325,29.85393866951453,0.9740796692756376,472.6083068847656,-5.76438719066447,60.0,TIME_EXIT
DIVISLAB,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,5232.54736328125,4037.29468871335,6389.325819252152,22.842653713092727,22.107367132277684,0.9678108073584464,4399.18115234375,-15.926587053669952,60.0,TIME_EXIT
GRASIM,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,1712.411865234375,1397.3377107154952,1989.1337143544351,18.39943771212752,16.159771766250035,0.8782753048805798,1804.6523437499998,5.3865825382493595,60.0,TIME_EXIT
WIPRO,2021-10-14,DOUBLE_BOTTOM,75.0,,,,,,327.17578125,241.41485228041407,408.73307312457325,26.212493064715787,24.92766780076979,0.9509842401951656,320.6623229980469,-1.9908130812946976,60.0,TIME_EXIT
