Symbol,Date,Pattern,Confidence,RSI,Volume Ratio,EMA50,EMA200,Trend Strength %,Entry,Stop,Target,Risk %,Reward %,Risk:Reward,Exit,Return %,Holding Days,Outcome
INDHOTEL,2022-03-29,ROUNDING_BOTTOM_V5,95.0,82.04950388171969,1.7646551858565425,204.67795863928993,190.65977950976801,7.352457432588041,238.16677856445312,169.2354766706782,302.29813129361713,28.942450458144236,26.92707736810097,0.9303661902105407,224.96389770507812,-5.543544292346387,60,TIME_EXIT
TVSMOTOR,2022-06-28,ROUNDING_BOTTOM_V5,95.0,73.82018869457043,1.8130572215995509,702.713118204573,646.9459483503647,8.620066328015186,806.781494140625,501.4999719060954,1102.8659832887708,37.83943043459521,36.69946463800981,0.9698736005406896,1020.5758666992188,26.499662437885398,60,TIME_EXIT
EICHERMOT,2022-07-11,ROUNDING_BOTTOM_V5,95.0,74.02079689446688,1.7676413649495932,2618.612371622378,2530.2016315547435,3.494217178783031,2922.957275390625,2071.7371714265973,3712.779699337966,29.12187978697945,27.021346859809608,0.927870970468431,3378.626953125,15.58933760581496,60,TIME_EXIT
TRENT,2022-08-12,ROUNDING_BOTTOM_V5,95.0,88.61110789745362,1.9073425942096094,1207.2320558302745,1136.9787797625406,6.178943470027324,1377.9322509765625,975.8946534364529,1757.0001219054595,29.17687696584351,27.509906286048942,0.9428667200486865,1414.105712890625,2.6251988723266906,60,TIME_EXIT
LT,2022-08-19,ROUNDING_BOTTOM_V5,95.0,77.46534117247015,1.9118190271399964,1662.3974465659169,1642.8171885771394,1.191870776914389,1863.58642578125,1384.1159233899803,2306.960558662999,25.728374909699546,23.791444643941237,0.9247161831030342,1953.586669921875,4.829410801427963,60,TIME_EXIT
PIDILITIND,2022-09-01,ROUNDING_BOTTOM_V5,95.0,77.0011967058827,1.5070085079457978,1223.9323260672677,1166.9758069000318,4.880694083841881,1387.62890625,974.2025531690413,1772.5184163301744,29.793725917559865,27.737207573768387,0.9309747847757637,1342.191162109375,-3.2744881528461605,60,TIME_EXIT
CANBK,2022-09-14,ROUNDING_BOTTOM_V5,95.0,75.72057086114796,1.5842110863513854,40.13794060619011,37.324423497187844,7.538005534671534,44.68891143798828,30.063925989341257,58.33364337628916,32.72620651980102,30.532701511950528,0.9329740522622655,58.33364337628917,30.532701511950528,49,WIN
SBIN,2022-09-14,ROUNDING_BOTTOM_V5,95.0,81.80718561824541,1.763022954930846,483.47304291971113,457.61353915897433,5.650948135901469,531.1688232421875,400.13019120266165,651.2914532200814,24.669865079746696,22.61477419639965,0.9166963063355291,569.5374755859375,7.223438324100534,60,TIME_EXIT
NTPC,2022-09-15,ROUNDING_BOTTOM_V5,95.0,75.4716547936487,1.5754766502425488,141.6973875616533,130.14869375171747,8.873461175082618,157.35752868652344,116.56850921637266,196.30428738448552,25.921237967207645,24.750489552710924,0.9548343942531677,152.055419921875,-3.3694662142355605,60,TIME_EXIT
MAXHEALTH,2022-09-15,ROUNDING_BOTTOM_V5,95.0,78.41975290699435,1.5230736492375934,381.9207564770793,369.52533641478306,3.3544168263425074,437.55804443359375,328.6040760764034,538.9962594214697,24.900460577345378,23.182801979834434,0.9310190029547614,427.752685546875,-2.2409275778283324,60,TIME_EXIT
BAJAJ-AUTO,2023-04-11,ROUNDING_BOTTOM_V5,95.0,78.07425284936721,1.8380240486498343,3552.335386788701,3457.762391130652,2.7350923794137456,3866.916748046875,3258.4237754444985,4377.843540041775,15.735869485933923,13.212769378936375,0.8396593140752144,4377.843540041775,13.212769378936375,38,WIN
DRREDDY,2023-04-12,ROUNDING_BOTTOM_V5,95.0,91.05525130255602,1.7185113030586159,881.5248743021069,861.7893099720833,2.290068361449383,956.8544311523438,818.4722665613759,1080.5142400538066,14.462196138268766,12.923575924975214,0.8936108874071919,1010.5586547851564,5.612580334517162,60,TIME_EXIT
HAL,2023-05-03,ROUNDING_BOTTOM_V5,95.0,76.84884093915221,1.986851075692964,1321.3240189108578,1178.8510488905058,12.085748250760153,1454.5899658203125,1105.1174324257065,1781.002714820381,24.02550145446121,22.440189790253974,0.934015459897389,1781.002714820381,22.440189790253974,27,WIN
MAXHEALTH,2023-05-15,ROUNDING_BOTTOM_V5,95.0,83.99609523789701,1.5815560679658571,460.1057333370406,431.5933228629304,6.606314084049314,517.5439453125,408.63969682125963,619.8283252482753,21.042512327234846,19.76341929263893,0.9392138631212579,619.8283252482753,19.76341929263893,25,WIN
